waistH footL handL sitH sleeveL neckC chestC waistC thighC stomachD height weight gender
1122 279 203 946 642 397 1081 922 628 246 1844 834 Male
964 255 187 867 548 398 1006 995 582 268 1637 727 Male
1035 268 185 932 596 444 1153 1047 662 289 1754 986 Male
985 265 190 918 530 394 1037 885 589 247 1704 773 Male
1063 283 213 954 650 501 1469 1379 781 451 1840 1400 Male
1113 282 196 879 647 368 901 750 532 212 1783 674 Male
1037 253 187 939 565 383 1071 970 671 271 1748 884 Male
992 267 189 904 591 461 1263 1068 646 311 1703 988 Male
1108 286 205 965 617 398 1146 1012 613 281 1852 952 Male
963 249 178 852 554 334 858 754 518 214 1609 566 Male
1040 248 184 867 581 382 1044 926 592 251 1709 717 Male
1113 270 193 966 630 364 904 827 547 223 1835 717 Male
1020 264 191 882 594 408 1033 940 621 254 1679 802 Male
1015 267 197 919 583 435 1160 1133 685 320 1742 988 Male
1026 264 178 895 561 373 971 843 567 230 1698 662 Male
993 248 180 899 579 413 1050 1021 621 272 1671 807 Male
1137 284 199 963 600 436 1213 1061 658 313 1850 1053 Male
1069 264 190 915 600 351 944 786 548 202 1754 683 Male
983 255 184 853 550 410 989 855 614 228 1619 749 Male
1067 274 196 930 575 373 975 830 593 231 1772 738 Male
1062 278 203 834 600 346 939 743 498 218 1705 604 Male
955 256 180 868 543 399 1091 967 585 287 1619 774 Male
1006 256 181 953 545 378 983 922 614 232 1726 768 Male
1094 273 195 943 620 385 1129 1120 694 322 1840 1022 Male
1013 256 181 918 590 430 1205 1060 609 328 1743 963 Male
995 256 190 899 578 419 1123 1030 685 296 1674 923 Male
1063 299 210 895 585 407 1129 974 687 260 1750 988 Male
1129 274 200 947 615 391 1048 844 636 223 1819 887 Male
1108 297 208 910 605 411 1063 969 669 267 1799 987 Male
1072 255 188 900 606 385 1098 1010 631 275 1750 852 Male
1065 260 191 884 603 378 972 892 588 225 1723 748 Male
1110 278 201 928 592 390 1127 1032 641 287 1809 920 Male
1053 272 190 967 583 375 963 851 581 237 1791 744 Male
1016 260 191 901 572 400 1098 979 592 258 1723 823 Male
908 233 165 863 508 372 953 857 570 243 1578 627 Male
1013 273 192 898 585 391 1024 979 597 265 1718 778 Male
1068 268 194 978 580 390 1043 984 639 274 1799 882 Male
1082 268 194 875 590 348 902 721 507 198 1740 590 Male
997 268 204 914 565 380 1008 885 555 249 1702 730 Male
1049 269 197 921 578 418 1027 961 649 255 1737 864 Male
1045 266 187 913 579 406 1044 996 641 279 1730 866 Male
1056 268 192 962 595 366 917 838 609 230 1785 737 Male
1113 287 203 927 656 358 917 752 507 202 1817 654 Male
1119 277 202 948 610 361 924 775 532 218 1843 696 Male
1092 264 195 919 600 379 994 809 576 209 1791 775 Male
1015 248 175 862 533 363 1001 862 629 245 1657 727 Male
1011 265 184 891 572 376 1069 1027 613 295 1701 797 Male
1070 262 186 955 585 374 995 797 586 226 1786 744 Male
1018 269 195 930 583 398 1104 1082 713 300 1755 968 Male
1102 274 204 910 625 387 1045 942 597 262 1791 866 Male
1054 275 182 928 600 365 1015 871 598 223 1759 742 Male
1092 269 191 927 619 378 1109 912 680 286 1790 920 Male
1058 260 183 963 553 390 991 873 627 258 1782 814 Male
1112 282 201 968 610 350 844 785 517 209 1839 646 Male
1146 280 197 931 648 391 1176 1023 632 291 1880 954 Male
1036 278 192 948 600 407 1085 924 623 275 1738 853 Male
1006 270 196 919 588 410 1085 1001 648 290 1734 900 Male
1115 284 204 921 654 411 1021 901 590 250 1819 835 Male
1035 265 194 890 545 398 1096 958 651 270 1683 851 Male
1099 275 192 945 615 408 1063 972 655 254 1815 897 Male
1067 279 199 974 589 395 1030 939 632 246 1815 872 Male
979 246 177 908 563 408 1106 1003 642 303 1673 822 Male
1080 285 209 967 600 445 1163 1139 672 321 1831 1112 Male
1051 263 191 926 575 398 1089 1162 692 340 1795 987 Male
1116 275 197 961 625 448 1149 1111 706 319 1845 1105 Male
997 246 182 940 565 378 1041 900 606 259 1687 782 Male
1023 274 190 928 595 401 1056 998 617 279 1756 869 Male
1114 294 208 927 615 464 1358 1330 797 404 1846 1413 Male
991 254 180 897 532 395 1025 897 634 231 1657 789 Male
973 257 174 857 548 355 1000 911 563 248 1632 690 Male
1047 267 192 916 601 390 1026 861 568 240 1735 792 Male
1009 269 185 925 591 384 989 920 549 240 1726 699 Male
1148 283 207 986 630 436 1251 1192 694 355 1877 1212 Male
1096 289 205 1007 603 380 1030 1012 585 273 1887 878 Male
1081 284 200 878 617 362 970 845 547 246 1765 706 Male
1115 280 196 903 628 393 1035 843 620 236 1793 822 Male
1097 288 203 992 604 437 1076 910 678 252 1849 992 Male
1112 263 197 944 628 382 1038 879 554 244 1811 760 Male
1045 276 191 930 596 423 1113 1031 675 283 1739 988 Male
1006 275 185 843 588 377 1011 929 644 260 1668 759 Male
1074 270 196 941 625 374 1024 994 669 253 1788 898 Male
1099 281 208 857 590 395 997 815 608 227 1746 782 Male
1030 265 196 908 581 410 1057 983 588 263 1750 831 Male
1108 285 206 951 613 442 1082 1004 723 264 1810 996 Male
1005 260 188 930 560 398 1002 825 611 211 1710 742 Male
1107 288 204 956 638 399 1132 1077 667 291 1847 968 Male
1085 276 183 945 570 381 1123 952 678 241 1811 916 Male
1071 296 222 906 631 427 1175 1047 712 294 1780 1080 Male
1025 259 188 943 548 387 1021 851 612 229 1740 788 Male
1080 278 197 944 593 406 1115 920 673 233 1797 949 Male
1089 282 189 896 595 390 1112 934 662 260 1755 906 Male
1118 286 205 949 656 411 1165 1114 722 295 1842 1069 Male
1013 259 180 868 553 401 1056 967 683 260 1656 874 Male
1034 272 190 940 620 404 1048 1007 634 258 1776 879 Male
1099 284 195 980 608 412 1137 1109 742 338 1859 1154 Male
997 266 190 926 561 412 1041 827 613 227 1685 790 Male
1068 278 190 951 588 390 1027 947 685 242 1775 887 Male
1155 290 211 892 654 398 1021 881 629 240 1825 866 Male
1197 284 204 989 655 386 1001 833 562 220 1931 806 Male
1075 275 192 952 600 415 1126 963 658 252 1789 966 Male
1084 281 195 955 595 447 1225 1100 687 310 1819 1099 Male
1073 262 188 933 568 387 1070 852 570 230 1782 771 Male
1048 259 183 944 555 400 1102 941 712 265 1721 951 Male
1186 298 210 968 645 442 1194 1026 712 273 1910 1118 Male
1085 276 199 939 614 402 1097 978 629 259 1804 895 Male
1052 270 201 908 585 441 1208 1150 698 321 1782 1060 Male
1082 272 177 917 586 403 1116 935 680 246 1777 951 Male
959 260 188 909 566 375 995 923 567 252 1665 721 Male
1093 263 185 940 605 374 1092 973 642 260 1803 872 Male
1181 300 218 945 632 416 1079 908 669 244 1879 978 Male
1023 249 183 902 585 416 1179 1111 684 315 1733 974 Male
1106 278 200 949 629 414 1084 1031 644 265 1835 958 Male
1078 277 196 955 598 425 1150 1164 774 307 1792 1123 Male
1014 272 187 938 564 414 1098 1006 637 262 1721 900 Male
1038 262 183 903 581 424 1142 1018 705 276 1711 948 Male
1082 268 184 959 610 419 1071 992 652 247 1809 950 Male
1013 261 179 871 555 355 1021 908 609 256 1664 739 Male
1064 279 207 970 624 424 1241 1053 659 269 1807 1036 Male
1019 270 185 906 582 406 1027 912 592 234 1705 777 Male
1159 299 222 1009 675 415 1167 1049 670 280 1955 1080 Male
1022 274 185 924 581 406 1082 917 631 257 1730 840 Male
1079 278 194 931 593 420 1139 1066 631 307 1774 964 Male
1030 260 177 912 570 371 947 848 567 224 1724 707 Male
993 260 195 904 565 370 948 759 563 227 1705 705 Male
1115 274 196 945 620 400 1058 959 600 282 1838 851 Male
1019 245 185 902 561 405 1102 970 623 272 1706 865 Male
1095 272 198 927 595 395 1179 1068 648 308 1809 972 Male
1075 282 197 917 586 397 1028 972 601 255 1773 822 Male
1031 271 196 923 556 395 1048 993 640 292 1734 842 Male
1025 268 187 914 594 360 969 898 571 241 1748 723 Male
944 262 182 915 525 395 1125 964 678 272 1651 896 Male
1053 275 193 873 615 368 1049 881 602 253 1724 755 Male
1158 286 207 960 613 373 957 821 550 215 1860 732 Male
1035 266 185 913 555 370 913 801 576 220 1715 701 Male
1059 279 196 932 587 402 995 845 592 235 1757 783 Male
1141 292 204 1001 642 414 1237 1134 732 310 1916 1164 Male
1143 280 198 913 613 384 1018 877 602 227 1847 799 Male
1136 289 203 937 635 396 1059 951 661 246 1855 908 Male
1004 261 186 930 577 372 907 867 548 240 1718 677 Male
936 257 185 897 530 404 1063 1029 671 290 1641 858 Male
1114 293 204 950 612 383 1017 879 631 217 1833 852 Male
1083 292 195 947 583 431 1130 1015 676 289 1784 1033 Male
1075 283 206 932 592 407 1156 1034 744 308 1770 1034 Male
1047 247 183 918 563 361 978 844 613 223 1702 725 Male
1084 255 189 946 605 369 963 797 563 202 1800 711 Male
1007 265 194 897 596 370 965 892 551 239 1715 678 Male
1112 277 189 991 602 388 956 865 587 241 1842 782 Male
987 276 188 917 566 408 1080 1031 632 309 1710 909 Male
1068 283 201 905 608 419 1078 912 615 265 1753 840 Male
942 246 184 803 513 335 922 850 622 231 1560 657 Female
1032 249 189 835 575 302 839 708 524 194 1665 534 Female
1035 265 195 904 568 325 874 727 577 183 1711 663 Female
999 265 186 875 536 357 1008 923 679 261 1660 782 Female
911 247 187 824 559 340 1089 1163 766 309 1572 886 Female
1053 270 198 860 592 354 1031 968 674 272 1707 837 Female
971 241 167 876 525 338 988 964 650 261 1644 732 Female
1004 255 177 881 574 349 968 914 675 229 1671 760 Female
932 234 174 797 527 318 831 755 592 213 1521 545 Female
922 245 175 857 490 341 1010 944 604 281 1590 684 Female
1036 270 210 902 573 378 1065 935 740 274 1707 990 Female
1003 260 186 873 600 378 1034 942 600 284 1668 742 Female
1001 234 178 862 570 346 1063 995 623 279 1654 781 Female
1017 263 190 874 565 366 937 848 606 214 1666 718 Female
956 238 178 834 548 354 989 929 639 265 1599 709 Female
989 249 177 883 540 337 940 835 619 225 1673 672 Female
970 257 187 899 538 331 835 772 564 193 1647 620 Female
1022 256 186 871 540 315 897 805 569 201 1678 595 Female
1019 253 187 853 593 335 979 868 647 233 1679 741 Female
960 235 175 886 517 317 853 792 615 214 1615 605 Female
837 233 169 830 500 341 1090 1137 695 325 1517 800 Female
1013 250 184 852 585 324 941 881 677 245 1674 747 Female
972 231 174 863 547 303 857 702 492 181 1623 491 Female
983 251 175 880 530 340 973 954 614 236 1668 703 Female
1026 258 195 825 584 324 975 796 603 226 1644 715 Female
941 242 177 810 532 349 1026 1000 630 300 1579 708 Female
808 223 155 854 410 309 832 742 529 207 1446 488 Female
961 236 173 867 535 332 921 912 643 270 1620 691 Female
1011 251 182 883 552 320 1032 913 639 246 1684 730 Female
968 258 194 833 569 318 904 821 565 209 1619 610 Female
928 246 184 856 532 330 951 930 611 256 1592 658 Female
965 252 183 893 533 335 950 901 625 235 1655 709 Female
1038 269 191 899 564 325 965 935 601 266 1723 728 Female
1004 245 186 871 552 350 1115 1077 702 305 1677 846 Female
968 246 186 880 535 364 1170 1112 735 326 1654 945 Female
1004 238 180 851 569 307 895 812 621 205 1634 627 Female
1077 251 183 814 607 323 944 869 546 243 1683 578 Female
926 234 185 811 537 336 833 712 541 197 1552 524 Female
959 237 177 836 535 334 1025 1057 616 298 1617 732 Female
930 249 180 855 487 371 982 964 727 287 1588 791 Female
912 248 172 879 513 365 1060 1134 720 352 1641 894 Female
1000 259 186 893 549 323 991 869 580 241 1685 689 Female
955 247 174 889 522 331 994 942 637 274 1656 758 Female
919 255 184 853 525 364 1071 1019 614 289 1603 731 Female
963 250 188 889 529 330 945 865 686 246 1608 748 Female
995 250 184 880 533 375 1094 975 645 277 1664 806 Female
1014 244 190 831 564 347 932 814 652 230 1619 714 Female
982 252 193 808 570 340 1013 947 646 277 1620 712 Female
1067 257 185 870 585 334 910 794 598 210 1720 657 Female
944 257 176 836 507 306 793 679 493 189 1582 477 Female
1031 244 181 909 580 323 954 890 637 225 1720 696 Female
990 256 188 921 544 378 1161 1334 870 358 1720 1196 Female
1025 269 195 883 604 344 1135 1076 674 309 1701 887 Female
911 238 180 882 517 345 1095 1007 614 291 1627 754 Female
878 229 164 851 495 342 1014 897 623 238 1536 678 Female
904 233 166 845 505 310 946 832 598 234 1546 607 Female
1013 243 176 865 546 294 814 766 583 204 1654 572 Female
960 247 175 861 530 330 940 878 645 263 1605 689 Female
965 242 178 863 560 310 988 943 649 236 1630 712 Female
966 230 174 868 532 321 904 825 593 209 1612 604 Female
1097 272 201 857 605 316 876 812 626 229 1757 697 Female
1013 258 189 871 585 344 1090 1062 717 286 1670 854 Female
1004 220 162 878 521 320 943 914 610 248 1632 617 Female
985 250 185 868 546 347 1132 987 649 247 1635 790 Female
1005 257 187 918 550 327 977 868 615 219 1682 672 Female
1017 250 180 875 560 344 977 839 620 236 1661 695 Female
975 243 171 849 542 321 1006 814 614 227 1596 669 Female
953 235 173 846 519 305 936 804 573 210 1596 574 Female
995 262 188 885 575 350 1065 925 693 223 1665 815 Female
977 248 177 843 535 321 890 805 608 201 1617 618 Female
977 244 180 786 535 318 900 811 639 223 1555 645 Female
920 226 167 858 500 309 862 757 573 198 1578 557 Female
923 247 178 872 534 321 896 839 595 222 1581 614 Female
1028 257 184 915 557 321 943 821 626 225 1698 668 Female
871 230 167 843 511 350 1092 1001 635 300 1554 730 Female
1056 253 193 924 573 338 920 860 632 239 1756 737 Female
909 238 178 865 520 363 1071 922 613 266 1566 693 Female
996 259 187 838 562 342 1001 1012 677 272 1651 757 Female
907 240 174 869 519 350 1126 981 632 267 1585 740 Female
1012 254 182 868 557 313 982 870 613 217 1657 682 Female
1059 265 189 928 589 339 1069 931 686 272 1719 867 Female
1135 267 197 925 599 343 1061 895 694 244 1822 882 Female
1008 253 186 872 580 344 1031 925 724 253 1649 786 Female
1049 253 187 897 549 308 924 751 584 216 1687 622 Female
995 254 190 887 563 349 999 1019 667 280 1698 782 Female
929 238 175 811 527 314 865 784 646 221 1530 608 Female
941 243 179 861 512 325 998 917 616 217 1581 674 Female
989 242 180 800 555 338 930 865 647 246 1609 686 Female
989 259 187 870 567 349 934 847 597 229 1644 670 Female
946 238 184 799 535 313 856 785 644 218 1548 635 Female
909 239 180 899 533 353 979 1004 682 263 1606 773 Female
998 239 176 877 557 304 852 759 543 184 1642 555 Female
940 237 176 894 534 347 1014 955 649 262 1622 727 Female
1012 246 184 874 571 332 841 694 592 187 1669 593 Female
1079 268 200 894 602 358 1057 1068 791 277 1745 998 Female
852 215 164 808 489 312 986 948 593 257 1495 581 Female
871 232 163 802 490 339 951 912 624 236 1493 642 Female
976 252 185 849 541 363 1068 989 612 269 1641 758 Female
933 247 180 885 532 329 945 887 648 209 1607 683 Female
928 226 168 847 512 310 826 698 508 183 1560 471 Female
983 246 178 871 536 333 978 822 619 224 1625 665 Female
975 230 161 904 555 318 978 885 639 231 1670 685 Female
974 239 174 869 520 319 870 764 541 198 1616 579 Female
931 229 164 854 511 338 1080 943 530 256 1582 647 Female
1064 261 190 889 593 305 921 809 542 203 1730 591 Female
904 224 169 816 479 297 846 739 497 181 1501 450 Female
880 225 160 828 480 324 959 826 546 228 1515 572 Female
932 257 181 873 538 350 1022 962 632 238 1576 721 Female
995 247 185 848 541 326 878 849 645 232 1628 676 Female
933 231 170 859 515 341 1029 951 614 261 1586 711 Female
1057 275 198 894 549 338 936 889 667 251 1737 791 Female
929 235 174 856 505 296 834 790 560 222 1576 536 Female
990 249 182 850 548 324 931 811 596 239 1626 639 Female
962 230 172 850 529 326 981 831 582 216 1604 628 Female
1001 250 183 878 547 340 1037 958 621 253 1673 788 Female
1002 234 170 874 538 304 981 761 570 208 1642 598 Female
877 236 168 828 509 342 1052 1070 675 302 1538 752 Female
932 237 163 817 527 355 1028 923 605 260 1574 686 Female
966 239 174 861 547 332 946 949 605 230 1637 668 Female
957 247 180 865 538 317 930 858 589 216 1620 613 Female
1054 268 194 920 572 322 937 859 600 254 1733 742 Female
901 255 176 807 506 325 810 721 531 198 1526 522 Female
1052 258 193 916 575 362 991 908 656 243 1732 767 Female
975 245 179 867 563 355 985 880 586 254 1624 661 Female
873 222 166 824 481 325 844 759 542 211 1507 505 Female
922 229 165 819 512 344 965 919 618 253 1560 637 Female
1008 263 184 836 541 335 985 908 607 229 1640 666 Female
1026 257 181 872 556 310 862 731 572 191 1675 610 Female
895 235 172 826 515 324 863 820 597 213 1526 581 Female
954 241 177 858 543 319 870 821 601 238 1623 609 Female
947 234 168 845 512 320 815 740 634 221 1584 575 Female
990 259 180 889 554 352 1057 1024 664 275 1671 797 Female
912 228 170 846 514 342 1137 932 665 249 1552 745 Female
960 242 175 888 531 327 874 827 583 206 1633 614 Female
920 225 170 828 492 332 1004 896 634 274 1530 677 Female
979 243 180 844 531 294 844 738 549 198 1606 508 Female
983 250 185 851 526 338 950 832 612 239 1617 633 Female
958 247 182 904 523 336 1013 851 657 208 1645 711 Female
1034 263 196 852 555 336 960 859 658 211 1681 727 Female
999 260 182 876 542 320 992 906 578 254 1655 679 Female
953 244 176 861 542 349 1069 1028 702 286 1626 833 Female
1015 238 176 835 536 320 838 786 597 217 1635 622 Female
945 241 178 818 532 333 962 853 594 242 1572 616 Female
962 250 188 856 553 298 899 745 570 193 1608 573 Female
1014 247 177 865 540 308 828 737 527 184 1662 507 Female
948 237 174 836 520 325 940 802 594 232 1582 611 Female
1046 256 188 850 556 361 1156 1045 690 285 1701 866 Female
930 223 162 883 535 320 886 763 525 210 1602 523 Female
885 243 180 812 527 336 991 955 635 255 1549 676 Female
945 234 184 815 535 307 899 719 570 194 1561 549 Female
1043 250 192 850 590 314 889 746 546 201 1677 571 Female
946 243 180 840 517 309 907 874 642 243 1594 644 Female
995 243 174 886 511 330 940 772 634 222 1628 649 Female
921 230 165 846 535 334 949 802 569 204 1549 592 Female
932 240 178 860 518 311 866 719 565 188 1559 563 Female
930 253 174 883 527 307 907 862 532 207 1619 580 Female
1004 242 179 881 578 349 983 1044 661 285 1690 810 Female
1008 248 175 905 574 316 895 817 596 216 1698 649 Female
1055 256 182 898 580 338 892 817 578 223 1705 654 Female
999 242 170 834 560 298 875 816 576 237 1625 570 Female
1011 252 170 885 535 329 1012 939 697 256 1666 805 Female
933 217 155 816 498 315 1026 863 641 256 1559 671 Female
943 236 169 857 545 314 977 915 647 244 1595 673 Female
1020 234 174 849 520 307 812 764 562 203 1634 550 Female
1017 252 178 828 570 332 913 899 684 260 1643 708 Female
1000 236 180 877 555 299 943 782 539 208 1667 538 Female
1012 263 202 844 575 337 1032 897 669 240 1661 771 Female
949 243 175 803 546 321 878 817 608 214 1560 602 Female
952 262 186 825 576 335 971 900 669 264 1610 719 Female
1001 235 176 846 506 347 906 830 627 208 1610 617 Female
1015 260 190 881 568 350 1024 947 645 240 1682 761 Female
953 237 184 847 548 358 1028 958 638 259 1604 739 Female
913 228 168 828 492 310 881 767 561 179 1540 560 Female
1000 234 170 847 540 311 919 777 602 202 1638 647 Female
963 250 168 916 519 330 918 896 678 229 1656 724 Female
963 237 175 834 509 378 1118 968 597 238 1597 708 Female
1099 277 207 851 593 384 1130 997 688 288 1749 953 Female
1016 255 184 891 567 342 1002 879 663 240 1661 748 Female
918 223 172 797 541 326 1039 1000 682 269 1526 700 Female
945 236 171 854 527 313 934 931 623 232 1583 655 Female
910 242 184 818 500 316 844 748 527 213 1533 499 Female
962 261 188 805 537 319 821 734 582 200 1575 553 Female
1040 263 194 937 568 357 1072 1021 725 264 1776 924 Female
1053 257 182 890 585 330 1084 874 602 224 1713 716 Female
954 259 187 893 520 327 918 803 620 225 1653 676 Female
898 227 167 811 501 337 1032 935 592 244 1516 641 Female
1013 260 189 851 573 344 971 810 606 207 1658 666 Female
963 240 174 863 509 344 1022 882 607 214 1617 663 Female
1013 273 194 850 573 348 987 920 699 247 1687 763 Female
955 239 175 804 557 327 1036 1085 675 294 1603 717 Female
871 237 170 842 510 333 990 923 599 263 1539 643 Female
965 238 175 842 534 321 965 840 577 220 1603 591 Female
965 236 170 865 535 309 817 783 550 176 1620 529 Female
943 253 185 872 545 334 993 924 642 252 1617 694 Female
952 245 179 823 512 323 1031 972 648 288 1600 699 Female
962 247 172 817 530 312 877 774 566 205 1572 592 Female
980 242 183 863 515 300 818 708 570 179 1632 540 Female
1014 246 166 910 561 336 945 879 685 242 1690 701 Female
1027 250 182 887 562 340 916 830 638 241 1682 681 Female
994 254 191 869 566 331 1050 980 711 327 1657 864 Female
