course question score
c22 q13 6
c22 q14 6.33
c22 q15 6
c22 q16 6.33
c22 q17 5.91
c22 q18 6.27
c23 q1 6.23
c23 q2 6.05
c23 q3 6.41
c23 q4 6.14
c23 q5 6.18
c23 q6 6.27
c23 q7 6.18
c23 q8 5.9
c23 q9 6.29
c23 q10 6.27
c23 q11 6.1
c23 q12 6
c23 q13 5.73
c23 q14 6.29
c23 q15 5.48
c23 q16 6.33
c23 q17 6.09
c23 q18 6.18
c24 q1 5.85
c24 q2 6.04
c24 q3 6.15
c24 q4 5.65
c24 q5 5.96
c24 q6 6
c24 q7 5.96
c24 q8 5.89
c24 q9 6.38
c24 q10 5.96
c24 q11 5.54
c24 q12 5.56
c24 q13 5.31
c24 q14 5.4
c24 q15 5.42
c24 q16 6.21
c24 q17 6.17
c24 q18 6.31
c25 q1 5.26
c25 q2 5.34
c25 q3 5.93
c25 q4 5.56
c25 q5 5.44
c25 q6 5.81
c25 q7 5.49
c25 q8 5.74
c25 q9 4.63
c25 q10 5.18
c25 q11 5.36
c25 q12 5.02
c25 q13 5.07
c25 q14 5.81
c25 q15 5.16
c25 q16 5.66
c25 q17 5.86
c25 q18 5.53
c26 q1 6.41
c26 q2 6.48
c26 q3 6.73
c26 q4 6.5
c26 q5 6.27
c26 q6 6.68
c26 q7 6.45
c26 q8 6.82
c26 q9 6.68
c26 q10 6.59
c26 q11 6.52
c26 q12 6.82
c26 q13 5.77
c26 q14 5.29
c26 q15 5.82
c26 q16 6.82
c26 q17 6.86
c26 q18 6.5
c27 q1 6.74
c27 q2 6.55
c27 q3 6.52
c27 q4 6.65
c27 q5 6.59
c27 q6 6.74
c27 q7 6.39
c27 q8 6.83
c27 q9 6.87
c27 q10 6.84
c27 q11 6.43
c27 q12 6.54
c27 q13 5.71
c27 q14 6.5
c27 q15 5.96
c27 q16 6.87
c27 q17 6.93
c27 q18 6.61
c28 q1 5.4
c28 q2 5.52
c28 q3 5.54
c28 q4 5.21
c28 q5 5.27
c28 q6 5.35
c28 q7 5.16
c28 q8 4.91
c28 q9 4.76
c28 q10 5.26
c28 q11 5.02
c28 q12 4.77
c28 q13 4.72
c28 q14 4.95
c28 q15 5.07
c28 q16 5.3
c28 q17 5.27
c28 q18 5.27
c29 q1 6.14
c29 q2 6.03
c29 q3 6.2
c29 q4 5.94
c29 q5 6.03
c29 q6 6.2
c29 q7 6.15
c29 q8 5.94
c29 q9 5.78
c29 q10 5.92
c29 q11 5.67
c29 q12 5.95
c29 q13 5.49
c29 q14 5.74
c29 q15 5.57
c29 q16 6.19
c29 q17 6.07
c29 q18 6.26
c30 q1 5.82
c30 q2 5.62
c30 q3 5.94
c30 q4 5.69
c30 q5 5.87
c30 q6 5.78
c30 q7 5.61
c30 q8 5.56
c30 q9 5.64
c30 q10 5.72
c30 q11 5.61
c30 q12 5.82
c30 q13 5.13
c30 q14 5.49
c30 q15 5.61
c30 q16 5.84
c30 q17 5.83
c30 q18 5.57
c31 q1 5.32
c31 q2 4.71
c31 q3 5.54
c31 q4 5.29
c31 q5 5.37
c31 q6 5.36
c31 q7 5.08
c31 q8 5.16
c31 q9 5.53
c31 q10 5.16
c31 q11 4.94
c31 q12 5.65
c31 q13 4.94
c31 q14 5.23
c31 q15 4.87
c31 q16 5.39
c31 q17 5.29
c31 q18 5.22
c32 q1 5.75
c32 q2 5.87
c32 q3 5.98
c32 q4 5.9
c32 q5 6.02
c32 q6 6.03
c32 q7 5.88
c32 q8 5.92
c32 q9 6.12
c32 q10 5.79
c32 q11 5.89
c32 q12 6.48
c32 q13 5.59
c32 q14 5.98
c32 q15 5.81
c32 q16 5.85
c32 q17 5.88
c32 q18 6
c33 q1 5.26
c33 q2 5.32
c33 q3 5.39
c33 q4 5.26
c33 q5 5.35
c33 q6 5.31
c33 q7 5.35
c33 q8 5.45
c33 q9 5.09
c33 q10 5.32
c33 q11 5.28
c33 q12 5.74
c33 q13 5.38
c33 q14 5.44
c33 q15 5.18
c33 q16 5.47
c33 q17 5.71
c33 q18 5.69
c34 q1 5.75
c34 q2 5.67
c34 q3 6.5
c34 q4 6.09
c34 q5 6
c34 q6 6.2
c34 q7 6.25
c34 q8 6
c34 q9 5.67
c34 q10 6
c34 q11 6.08
c34 q12 6
c34 q13 5.67
c34 q14 5.73
c34 q15 6.25
c34 q16 6.18
c34 q17 6.17
c34 q18 6.25
c35 q1 5.88
c35 q2 5.75
c35 q3 5.75
c35 q4 5.88
c35 q5 5.88
c35 q6 5.86
c35 q7 5.88
c35 q8 5.75
c35 q9 5.88
c35 q10 5.88
c35 q11 6.25
c35 q12 6.25
c35 q13 6.29
c35 q14 6.12
c35 q15 6.5
c35 q16 6.25
c35 q17 6.12
c35 q18 6.12
c36 q1 6.58
c36 q2 6.5
c36 q3 6.65
c36 q4 6.55
c36 q5 6.52
c36 q6 6.6
c36 q7 6.5
c36 q8 6.37
c36 q9 6.6
c36 q10 6.63
c36 q11 6.76
c36 q12 6.71
c36 q13 6.4
c36 q14 6.55
c36 q15 6.62
c36 q16 6.58
c36 q17 6.44
c36 q18 6.47
c37 q1 5.95
c37 q2 5.24
c37 q3 5.96
c37 q4 6.06
c37 q5 5.78
c37 q6 6.3
c37 q7 5.86
c37 q8 5.68
c37 q9 6.08
c37 q10 6.04
c37 q11 5.76
c37 q12 5.19
c37 q13 5.2
c37 q14 5.31
c37 q15 5.6
c37 q16 6.35
c37 q17 6.07
c37 q18 6.05
c38 q1 4
c38 q2 4.31
c38 q3 5.08
c38 q4 5.08
c38 q5 4.77
c38 q6 5.23
c38 q7 5.23
c38 q8 5.42
c38 q9 5.67
c38 q10 4.77
c38 q11 5
c38 q12 4.4
c38 q13 5.09
c38 q14 5.62
c38 q15 4.77
c38 q16 5.85
c38 q17 5.38
c38 q18 5.38
c39 q1 5.4
c39 q2 5.21
c39 q3 6.25
c39 q4 5.6
c39 q5 5.65
c39 q6 5.68
c39 q7 5.8
c39 q8 5.53
c39 q9 5.65
c39 q10 5.5
c39 q11 5.8
c39 q12 6
c39 q13 5.6
c39 q14 4.72
c39 q15 5.16
c39 q16 5.75
c39 q17 5.89
c39 q18 5.32
c40 q1 6.57
c40 q2 6.17
c40 q3 6.38
c40 q4 6.42
c40 q5 6.33
c40 q6 6.61
c40 q7 6.52
c40 q8 6.39
c40 q9 6.13
c40 q10 6.42
c40 q11 6.29
c40 q12 6.62
c40 q13 6.04
c40 q14 5.53
c40 q15 6.24
c40 q16 6.57
c40 q17 6.24
c40 q18 6.13
c41 q1 6.08
c41 q2 5.6
c41 q3 6.04
c41 q4 6.25
c41 q5 6.36
c41 q6 6.46
c41 q7 6.12
c41 q8 6.04
c41 q9 5.83
c41 q10 6.36
c41 q11 6.21
c41 q12 5.7
c41 q13 5.16
c41 q14 5.72
c41 q15 6.32
c41 q16 6.48
c41 q17 6.32
c41 q18 5.92
c42 q1 5.71
c42 q2 4.93
c42 q3 5.64
c42 q4 5.82
c42 q5 5.93
c42 q6 6.39
c42 q7 5.89
c42 q8 5.68
c42 q9 5.57
c42 q10 5.86
c42 q11 5.5
c42 q12 5.65
c42 q13 5.22
c42 q14 5.44
c42 q15 6.04
c42 q16 6.46
c42 q17 6.54
c42 q18 5.75
c43 q1 5.75
c43 q2 5.37
c43 q3 5.6
c43 q4 5.9
c43 q5 6.21
c43 q6 6.3
c43 q7 5.94
c43 q8 6.5
c43 q9 6.05
c43 q10 6.42
c43 q11 5.79
c43 q12 5.5
c43 q13 5
c43 q14 5.85
c43 q15 6.2
c43 q16 6.7
c43 q17 6.32
c43 q18 6.2
c44 q1 6.09
c44 q2 5.48
c44 q3 6.09
c44 q4 6.22
c44 q5 6.09
c44 q6 6.48
c44 q7 6.09
c44 q8 6.64
c44 q9 5.65
c44 q10 6.17
c44 q11 5.91
c44 q12 6.12
c44 q13 5.04
c44 q14 5.55
c44 q15 6.14
c44 q16 6.65
c44 q17 6.64
c44 q18 6.05
c45 q1 5.48
c45 q2 5.09
c45 q3 6.26
c45 q4 6.09
c45 q5 5.96
c45 q6 6.39
c45 q7 6.18
c45 q8 6.22
c45 q9 5.91
c45 q10 5.96
c45 q11 5.78
c45 q12 6
c45 q13 5
c45 q14 5.87
c45 q15 6.09
c45 q16 6.43
c45 q17 6.39
c45 q18 6
c46 q1 6.26
c46 q2 5.74
c46 q3 6.13
c46 q4 6.35
c46 q5 6.3
c46 q6 6.55
c46 q7 6.22
c46 q8 6.61
c46 q9 6
c46 q10 6.26
c46 q11 6.17
c46 q12 6.14
c46 q13 5.09
c46 q14 6.39
c46 q15 6.52
c46 q16 6.65
c46 q17 6.62
c46 q18 6.57
c47 q1 6.24
c47 q2 6
c47 q3 6
c47 q4 6.38
c47 q5 6.38
c47 q6 6.33
c47 q7 6.24
c47 q8 6.19
c47 q9 6
c47 q10 6.29
c47 q11 6.05
c47 q12 5.64
c47 q13 5.24
c47 q14 5.95
c47 q15 6.33
c47 q16 6.67
c47 q17 6.33
c47 q18 6.24
c48 q1 5.44
c48 q2 5.5
c48 q3 5.7
c48 q4 5.7
c48 q5 6.2
c48 q6 6.12
c48 q7 5.88
c48 q8 5.83
c48 q9 6
c48 q10 5.67
c48 q11 5.33
c48 q12 5.83
c48 q13 5.6
c48 q14 5.5
c48 q15 5.7
c48 q16 5.57
c48 q17 5.57
c48 q18 5.38
c49 q1 6.85
c49 q2 6.54
c49 q3 6.92
c49 q4 7
c49 q5 7
c49 q6 6.85
c49 q7 7
c49 q8 6.92
c49 q9 6.85
c49 q10 7
c49 q11 6.92
c49 q12 6.92
c49 q13 6.54
c49 q14 6.92
c49 q15 6.92
c49 q16 7
c49 q17 6.77
c49 q18 6.75
c50 q1 6.93
c50 q2 6.64
c50 q3 6.85
c50 q4 6.79
c50 q5 7
c50 q6 7
c50 q7 6.71
c50 q8 6.93
c50 q9 6.93
c50 q10 7
c50 q11 7
c50 q12 6.93
c50 q13 6.46
c50 q14 6.92
c50 q15 6.86
c50 q16 7
c50 q17 6.93
c50 q18 6.79
c51 q1 7
c51 q2 6.58
c51 q3 7
c51 q4 7
c51 q5 6.92
c51 q6 7
c51 q7 6.92
c51 q8 6.92
c51 q9 6.92
c51 q10 7
c51 q11 7
c51 q12 6.91
c51 q13 6.55
c51 q14 6.82
c51 q15 7
c51 q16 7
c51 q17 6.92
c51 q18 7
c52 q1 4.85
c52 q2 4.98
c52 q3 4.64
c52 q4 4.47
c52 q5 4.85
c52 q6 5.3
c52 q7 4.45
c52 q8 4.8
c52 q9 4.84
c52 q10 4.74
c52 q11 4.33
c52 q12 4.66
c52 q13 4.45
c52 q14 4.97
c52 q15 4.44
c52 q16 5.22
c52 q17 5.22
c52 q18 4.85
c53 q1 4.99
c53 q2 5.16
c53 q3 4.78
c53 q4 4.43
c53 q5 5.06
c53 q6 5.32
c53 q7 4.4
c53 q8 4.92
c53 q9 5.1
c53 q10 4.83
c53 q11 4.21
c53 q12 4.46
c53 q13 4.36
c53 q14 5.12
c53 q15 4.58
c53 q16 5.12
c53 q17 5.05
c53 q18 4.65
c54 q1 4.96
c54 q2 4.84
c54 q3 4.85
c54 q4 4.51
c54 q5 4.99
c54 q6 5.32
c54 q7 4.56
c54 q8 4.57
c54 q9 4.86
c54 q10 4.93
c54 q11 4.39
c54 q12 4
c54 q13 4.29
c54 q14 3.67
c54 q15 4.36
c54 q16 5.23
c54 q17 4.98
c54 q18 4.56
c55 q1 5.03
c55 q2 4.97
c55 q3 5.11
c55 q4 4.82
c55 q5 5.2
c55 q6 5.54
c55 q7 4.86
c55 q8 4.95
c55 q9 5.11
c55 q10 5.09
c55 q11 4.51
c55 q12 4.4
c55 q13 4.46
c55 q14 4.61
c55 q15 4.69
c55 q16 5.26
c55 q17 5.16
c55 q18 4.82
c56 q1 4.84
c56 q2 5.11
c56 q3 4.76
c56 q4 4.2
c56 q5 5.02
c56 q6 5.38
c56 q7 4.4
c56 q8 4.63
c56 q9 4.98
c56 q10 4.68
c56 q11 4.12
c56 q12 3.93
c56 q13 4.13
c56 q14 4.27
c56 q15 4.47
c56 q16 5.2
c56 q17 5.3
c56 q18 4.65
c57 q1 5.31
c57 q2 5.21
c57 q3 4.81
c57 q4 4.56
c57 q5 5.06
c57 q6 5.37
c57 q7 4.56
c57 q8 5.03
c57 q9 5.19
c57 q10 4.95
c57 q11 4.31
c57 q12 4.24
c57 q13 4.41
c57 q14 4.49
c57 q15 4.59
c57 q16 5.12
c57 q17 5.35
c57 q18 4.85
c58 q1 4.73
c58 q2 4.85
c58 q3 4.68
c58 q4 4.15
c58 q5 4.72
c58 q6 5.21
c58 q7 4.22
c58 q8 4.96
c58 q9 4.97
c58 q10 4.54
c58 q11 3.8
c58 q12 4.52
c58 q13 4.09
c58 q14 4.9
c58 q15 4.37
c58 q16 5.39
c58 q17 5.3
c58 q18 4.68
c59 q1 5.01
c59 q2 5.18
c59 q3 4.78
c59 q4 4.49
c59 q5 5.06
c59 q6 5.39
c59 q7 4.6
c59 q8 4.97
c59 q9 4.92
c59 q10 5.01
c59 q11 4.46
c59 q12 4.53
c59 q13 4.13
c59 q14 4.86
c59 q15 4.54
c59 q16 5.12
c59 q17 5.12
c59 q18 4.7
c60 q1 5.06
c60 q2 5.11
c60 q3 4.83
c60 q4 4.55
c60 q5 5.09
c60 q6 5.42
c60 q7 4.62
c60 q8 4.74
c60 q9 4.94
c60 q10 4.88
c60 q11 4.4
c60 q12 4.22
c60 q13 4.32
c60 q14 4.34
c60 q15 4.61
c60 q16 5.29
c60 q17 5.24
c60 q18 4.71
c61 q1 4.48
c61 q2 4.43
c61 q3 4.26
c61 q4 4.01
c61 q5 4.56
c61 q6 5.03
c61 q7 3.94
c61 q8 4.64
c61 q9 4.7
c61 q10 4.37
c61 q11 3.69
c61 q12 3.85
c61 q13 4.04
c61 q14 4.24
c61 q15 4.12
c61 q16 4.89
c61 q17 4.97
c61 q18 4.43
c62 q1 6.21
c62 q2 6.15
c62 q3 6.19
c62 q4 6.01
c62 q5 6.1
c62 q6 6.33
c62 q7 5.98
c62 q8 6.2
c62 q9 6.15
c62 q10 6.17
c62 q11 6.11
c62 q12 5.67
c62 q13 5.66
c62 q14 5.93
c62 q15 5.62
c62 q16 6.18
c62 q17 6.04
c62 q18 5.84
c63 q1 5.92
c63 q2 5.74
c63 q3 5.6
c63 q4 5.88
c63 q5 6.08
c63 q6 6.45
c63 q7 5.72
c63 q8 6
c63 q9 5.95
c63 q10 6
c63 q11 5.77
c63 q12 5.87
c63 q13 4.95
c63 q14 6.31
c63 q15 5.33
c63 q16 6.65
c63 q17 6.08
c63 q18 5.85
c64 q1 6.21
c64 q2 6.21
c64 q3 5.88
c64 q4 6.12
c64 q5 6.46
c64 q6 6.42
c64 q7 6.04
c64 q8 6.05
c64 q9 6.17
c64 q10 6.21
c64 q11 6.12
c64 q12 6.43
c64 q13 5.55
c64 q14 6
c64 q15 6
c64 q16 6.46
c64 q17 6.52
c64 q18 6.26
c65 q1 6.27
c65 q2 6.07
c65 q3 5.71
c65 q4 6.27
c65 q5 6.17
c65 q6 6.43
c65 q7 5.66
c65 q8 5.95
c65 q9 6.16
c65 q10 6.27
c65 q11 5.97
c65 q12 6.2
c65 q13 5.36
c65 q14 5.24
c65 q15 5.64
c65 q16 6.51
c65 q17 6.14
c65 q18 6.3
c66 q1 6.26
c66 q2 6.26
c66 q3 6.18
c66 q4 6.41
c66 q5 6.39
c66 q6 6.57
c66 q7 6.07
c66 q8 6.06
c66 q9 6.43
c66 q10 6.38
c66 q11 6.06
c66 q12 6
c66 q13 5.42
c66 q14 5.54
c66 q15 5.82
c66 q16 6.61
c66 q17 6.43
c66 q18 6.41
c67 q1 6.03
c67 q2 5.86
c67 q3 5.64
c67 q4 5.73
c67 q5 5.68
c67 q6 5.99
c67 q7 5.37
c67 q8 5.64
c67 q9 5.05
c67 q10 5.83
c67 q11 4.99
c67 q12 4.93
c67 q13 4.76
c67 q14 5.38
c67 q15 4.14
c67 q16 6.22
c67 q17 5.89
c67 q18 5.76
c68 q1 6.32
c68 q2 6.08
c68 q3 5.77
c68 q4 6.04
c68 q5 6.02
c68 q6 6.25
c68 q7 5.46
c68 q8 5.66
c68 q9 5.7
c68 q10 6.22
c68 q11 5.24
c68 q12 5.43
c68 q13 5.05
c68 q14 5.62
c68 q15 4.58
c68 q16 6.27
c68 q17 6.03
c68 q18 5.96
c69 q1 6.04
c69 q2 6.1
c69 q3 5.72
c69 q4 5.86
c69 q5 5.88
c69 q6 6.14
c69 q7 5.46
c69 q8 5.64
c69 q9 5.47
c69 q10 5.93
c69 q11 5.47
c69 q12 5.01
c69 q13 5.01
c69 q14 5.24
c69 q15 4.8
c69 q16 6.27
c69 q17 6.19
c69 q18 5.81
c70 q1 5.46
c70 q2 5.6
c70 q3 5.56
c70 q4 5.48
c70 q5 5.53
c70 q6 5.67
c70 q7 5
c70 q8 5.46
c70 q9 5.11
c70 q10 5.52
c70 q11 4.9
c70 q12 4.95
c70 q13 4.82
c70 q14 5.28
c70 q15 4.19
c70 q16 5.95
c70 q17 5.79
c70 q18 5.46
c71 q1 5.47
c71 q2 5.66
c71 q3 5.61
c71 q4 5.55
c71 q5 5.79
c71 q6 5.76
c71 q7 5.37
c71 q8 5.67
c71 q9 5.23
c71 q10 5.68
c71 q11 5.22
c71 q12 5.19
c71 q13 5.45
c71 q14 5.5
c71 q15 4.84
c71 q16 6.08
c71 q17 5.8
c71 q18 5.63
c72 q1 5.86
c72 q2 5.86
c72 q3 5.5
c72 q4 5.86
c72 q5 5.75
c72 q6 5.89
c72 q7 5.2
c72 q8 5.58
c72 q9 5.44
c72 q10 5.8
c72 q11 5.26
c72 q12 4.82
c72 q13 4.93
c72 q14 5.11
c72 q15 4.73
c72 q16 6.09
c72 q17 5.82
c72 q18 5.51
c73 q1 5.33
c73 q2 5.55
c73 q3 5.49
c73 q4 5.36
c73 q5 5.74
c73 q6 5.71
c73 q7 5.08
c73 q8 5.49
c73 q9 5.54
c73 q10 5.44
c73 q11 5.24
c73 q12 5.41
c73 q13 4.94
c73 q14 5.62
c73 q15 4.56
c73 q16 6.08
c73 q17 5.79
c73 q18 5.5
c74 q1 6.19
c74 q2 6.11
c74 q3 5.87
c74 q4 6.07
c74 q5 5.94
c74 q6 6.39
c74 q7 5.54
c74 q8 6.05
c74 q9 5.6
c74 q10 6.06
c74 q11 5.04
c74 q12 5.43
c74 q13 5.02
c74 q14 5.56
c74 q15 4.12
c74 q16 6.28
c74 q17 5.8
c74 q18 5.27
c75 q1 5.98
c75 q2 5.8
c75 q3 5.8
c75 q4 5.88
c75 q5 5.81
c75 q6 6.29
c75 q7 5.85
c75 q8 5
c75 q9 5.71
c75 q10 6.05
c75 q11 5.31
c75 q12 5.73
c75 q13 5.05
c75 q14 5.97
c75 q15 4.24
c75 q16 6.61
c75 q17 5.5
c75 q18 5.47
c76 q1 4.62
c76 q2 5.13
c76 q3 5.36
c76 q4 4.98
c76 q5 5.48
c76 q6 5.24
c76 q7 4.47
c76 q8 4.89
c76 q9 5
c76 q10 4.89
c76 q11 4.67
c76 q12 5.3
c76 q13 4.84
c76 q14 5.49
c76 q15 4.04
c76 q16 5.69
c76 q17 5.35
c76 q18 4.62
c77 q1 4.89
c77 q2 5.19
c77 q3 5.28
c77 q4 5.11
c77 q5 5.49
c77 q6 5.43
c77 q7 4.78
c77 q8 5.4
c77 q9 5.41
c77 q10 5.06
c77 q11 5.14
c77 q12 5.86
c77 q13 4.97
c77 q14 5.89
c77 q15 4.37
c77 q16 5.83
c77 q17 5.7
c77 q18 5.4
c78 q1 6.05
c78 q2 6.02
c78 q3 5.62
c78 q4 5.73
c78 q5 5.9
c78 q6 6.08
c78 q7 5.24
c78 q8 5.5
c78 q9 5.22
c78 q10 5.89
c78 q11 5.06
c78 q12 4.78
c78 q13 4.9
c78 q14 5.2
c78 q15 4.27
c78 q16 6.2
c78 q17 5.97
c78 q18 5.56
c79 q1 6.23
c79 q2 6.14
c79 q3 6.14
c79 q4 6.29
c79 q5 6.23
c79 q6 6.5
c79 q7 6.23
c79 q8 6.11
